chrom	length	bases	mean	min	max
KI270591.1	5796	4493	0.78	0	9
KI270593.1	3041	534	0.18	0	2
KI270706.1	175055	459476	2.62	0	1092
KI270707.1	32032	11853	0.37	0	5
KI270708.1	127682	47830	0.37	0	93
KI270709.1	66860	78530	1.17	0	25
KI270710.1	40176	8761	0.22	0	9
KI270711.1	42210	6614633	156.71	0	4454
KI270712.1	176043	262185	1.49	0	250
KI270713.1	40745	2997727	73.57	0	1961
KI270714.1	41717	572794	13.73	0	286
KI270715.1	161471	7513	0.05	0	2
KI270716.1	153799	11695	0.08	0	3
KI270717.1	40062	16390	0.41	0	44
KI270718.1	38054	190480	5.01	0	336
KI270719.1	176845	999284	5.65	0	944
KI270720.1	39050	505813	12.95	0	1362
KI270721.1	100316	105369	1.05	0	80
KI270722.1	194050	573595	2.96	0	342
KI270723.1	38115	538204	14.12	0	1807
KI270724.1	39555	87745	2.22	0	170
KI270725.1	172810	110606	0.64	0	322
KI270726.1	43739	2512	0.06	0	3
KI270727.1	448248	2929200	6.53	0	997
KI270728.1	1872759	8494307	4.54	0	1295
KI270729.1	280839	78437	0.28	0	78
KI270730.1	112551	12647	0.11	0	6
KI270731.1	150754	1543862	10.24	0	1212
KI270732.1	41543	188111	4.53	0	404
KI270733.1	179772	669414	3.72	0	732
KI270734.1	165050	2694246	16.32	0	1049
KI270735.1	42811	24703	0.58	0	21
KI270736.1	181920	19667	0.11	0	7
KI270737.1	103838	13663	0.13	0	11
KI270738.1	99375	11902	0.12	0	5
KI270739.1	73985	6653	0.09	0	3
KI270740.1	37240	51	0.00	0	1
KI270741.1	157432	28544	0.18	0	35
KI270742.1	186739	1538814	8.24	0	4125
KI270743.1	210658	67551	0.32	0	36
KI270744.1	168472	1106873	6.57	0	689
KI270745.1	41891	31773	0.76	0	49
KI270746.1	66486	4337514	65.24	0	2391
KI270747.1	198735	15123	0.08	0	2
KI270748.1	93321	14967	0.16	0	3
KI270749.1	158759	65570	0.41	0	154
KI270750.1	148850	308215	2.07	0	564
KI270751.1	150742	370073	2.46	0	707
KI270752.1	27745	1940	0.07	0	11
KI270753.1	62944	12987	0.21	0	5
KI270754.1	40191	8625	0.21	0	3
KI270755.1	36723	2666	0.07	0	2
KI270756.1	79590	4571	0.06	0	3
KI270757.1	71251	20279	0.28	0	8
total	3099704625	25850030511	8.34	0	237492
